任务号码,任务gps 纬度,任务gps经度,任务标价,任务执行情况,3中心聚类,5中心聚类,7中心聚类,,Y,X,任务密度
A0001,22.56614225,113.9808368,66,0,3,3,3,,-40.94784672,-22.25651307,0
A0002,22.68620526,113.9405252,65.5,0,3,3,3,,-27.62085261,-19.63154287,0
A0003,22.57651183,113.957198,65.5,1,3,3,3,,-39.79682334,-20.71722548,0
A0004,22.56484081,114.2445711,75,0,3,3,2,,-41.09230656,-39.4300978,0
A0005,22.55888775,113.9507227,65.5,0,3,3,3,,-41.75309622,-20.29557341,0
A0006,22.55899906,114.2413174,75,0,3,3,2,,-41.74074081,-39.21822664,0
A0007,22.54900371,113.9722597,65.5,1,3,3,3,,-42.85022466,-21.6979981,0
A0008,22.56277351,113.9565735,65.5,0,3,3,3,,-41.32177686,-20.67655992,0
A0009,22.50001192,113.8956606,66,0,3,3,3,,-48.28831335,-16.710095,0
A0010,22.5437861,113.9239778,66,1,3,3,3,,-43.42937937,-18.55402593,0
A0011,22.52486369,113.9308596,65.5,0,3,3,3,,-45.52976688,-19.00214805,0
A0012,22.519087,113.9358436,65.5,0,3,3,3,,-46.17097947,-19.32669115,0
A0013,22.54797243,113.977909,65.5,1,3,3,3,,-42.96469674,-22.06586353,0
A0014,22.50616871,113.9314284,66,1,3,3,3,,-47.60490966,-19.0391866,0
A0015,22.49962566,113.9365145,66,1,3,3,3,,-48.33118821,-19.37037814,0
A0016,22.54032142,113.9236456,66,1,3,3,3,,-43.81395885,-18.53239406,0
A0017,22.52455419,113.9247319,65.5,1,3,3,3,,-45.56412138,-18.60313065,0
A0018,22.4981901,113.8984817,66,0,3,3,3,,-48.49053537,-16.89379655,0
A0019,22.54603946,113.9749684,65.5,1,3,3,3,,-43.17925641,-21.8743805,0
A0020,22.49772892,113.9373377,66,1,3,3,3,,-48.54172635,-19.42398245,0
A0021,22.49416247,113.927139,66,1,3,3,3,,-48.9376023,-18.75987377,0
A0022,22.51592012,113.9356769,65,1,3,3,3,,-46.52250315,-19.31583615,0
A0023,22.51578568,113.9420557,65.5,0,3,3,3,,-46.53742599,-19.73120443,0
A0024,22.54220963,114.0196493,66.5,0,3,3,3,,-43.60436754,-24.78386638,0
A0025,22.54458961,113.9986601,67.5,0,3,3,3,,-43.34018976,-23.41711278,0
A0026,22.49308313,113.9358391,66,1,3,3,3,,-49.05740904,-19.32639812,0
A0027,22.52488949,113.9191429,65.5,1,3,3,3,,-45.52690308,-18.23919177,0
A0028,22.54808582,113.9453119,66.5,1,3,3,3,,-42.95211045,-19.94323838,0
A0029,22.56470734,113.9820093,66,0,3,3,3,,-41.10712173,-22.33286274,0
A0030,22.58193448,114.1563953,68,0,3,3,2,,-39.19490919,-33.68835479,0
A0031,22.54293611,114.1314072,67,0,3,3,3,,-43.52372826,-32.06120484,0
A0032,22.52394954,113.9434416,65.5,0,3,3,3,,-45.63123753,-19.82145007,0
A0033,22.55101305,113.9567446,65.5,1,3,3,3,,-42.62718792,-20.68770143,0
A0034,22.5829933,114.1471227,66,1,3,3,2,,-39.07738017,-33.08455096,0
A0035,22.54927013,114.1317447,66.5,0,3,3,3,,-42.82065204,-32.08318183,0
A0036,22.52596134,113.9353993,65.5,1,3,3,3,,-45.40792773,-19.29775967,0
A0037,22.7563793,114.0421356,70,0,3,3,2,,-19.83153417,-26.24810664,0
A0038,22.64144071,114.4227421,75,0,3,3,2,,-32.58971766,-51.03205767,0
A0039,22.71166007,114.0728836,66.5,0,3,3,2,,-24.7953687,-28.25032396,0
A0040,22.60649323,114.1241536,66,0,3,3,2,,-36.46888794,-31.58887222,0
A0041,22.66229971,114.0729969,65,0,3,3,2,,-30.27436866,-28.25770171,0
A0042,22.63539828,114.2263772,66.5,1,3,3,2,,-33.26042739,-38.24536573,0
A0043,22.73802844,114.264097,67,0,3,3,2,,-21.86847963,-40.70156571,0
A0044,22.62558348,114.1549664,69,0,3,3,2,,-34.34987019,-33.59530912,0
A0045,22.65265496,114.0272292,66,0,3,3,3,,-31.34493591,-25.27744668,0
A0046,22.78892197,113.8966327,66,0,3,5,4,,-16.2192978,-16.77339522,0
A0047,22.70103564,114.2442921,67,0,3,3,2,,-25.97468043,-39.41193016,0
A0048,22.63154051,114.1214928,67,0,3,3,2,,-33.68863986,-31.41560892,0
A0049,22.6417148,114.195533,68.5,0,3,3,2,,-32.55929367,-36.23688415,0
A0050,22.68940336,114.3454188,70,0,3,3,2,,-27.26586351,-45.99699684,0
A0051,22.63010042,114.0638327,66.5,0,3,3,3,,-33.84848985,-27.66095656,0
A0052,22.66391673,114.0717177,65.5,0,3,3,2,,-30.09487944,-28.17440405,0
A0053,22.750664,114.378843,70,0,3,3,2,,-20.46593247,-48.17348026,0
A0054,22.72272561,114.0738016,67,0,3,3,2,,-23.56709376,-28.31010136,0
A0055,22.64138032,114.2299818,67,0,3,3,2,,-32.59642095,-38.48008644,0
A0056,22.77640754,114.3095878,73,0,3,3,2,,-17.60839953,-43.66378984,0
A0057,22.58706534,113.9057614,66,0,3,3,3,,-38.62538373,-17.36782872,0
A0058,22.69339571,114.1474874,69,0,3,3,2,,-26.82271266,-33.10829913,0
A0059,22.6040497,114.0586138,66,0,3,3,3,,-36.74011977,-27.32111748,0
A0060,22.6376364,114.0679162,65.5,0,3,3,3,,-33.01199607,-27.9268618,0
A0061,22.65788521,114.0747723,65.5,0,3,3,2,,-30.76437816,-28.37331042,0
A0062,22.61781817,114.1572608,67.5,0,3,3,2,,-35.2118196,-33.74471355,0
A0063,22.64144071,114.4227421,75,0,3,3,2,,-32.58971766,-51.03205767,0
A0064,22.78139876,114.3008065,73,0,3,3,2,,-17.05437411,-43.09197798,0
A0065,22.72294122,114.2777156,67,0,3,3,2,,-23.54316105,-41.588368,0
A0066,22.67470711,114.2209333,67,0,3,3,2,,-28.89714726,-37.89087533,0
A0067,22.66283814,114.0263974,65,0,3,3,3,,-30.21460293,-25.22328237,0
A0068,22.65776972,114.0794934,65.5,0,3,3,2,,-30.77719755,-28.68073426,0
A0069,22.65691327,114.2100928,66,0,3,3,2,,-30.8722635,-37.18497456,0
