任务gps.纬度,任务gps经度,my.km.cluster,标记
1,22.56614225,113.9808368,3
2,22.68620526,113.9405252,3
3,22.57651183,113.957198,3
4,22.56484081,114.2445711,3
5,22.55888775,113.9507227,3
6,22.55899906,114.2413174,3
7,22.54900371,113.9722597,3
8,22.56277351,113.9565735,3
9,22.50001192,113.8956606,3
10,22.5437861,113.9239778,3
11,22.52486369,113.9308596,3
12,22.519087,113.9358436,3
13,22.54797243,113.977909,3
14,22.50616871,113.9314284,3
15,22.49962566,113.9365145,3
16,22.54032142,113.9236456,3
17,22.52455419,113.9247319,3
18,22.4981901,113.8984817,3
19,22.54603946,113.9749684,3
20,22.49772892,113.9373377,3
21,22.49416247,113.927139,3
22,22.51592012,113.9356769,3
23,22.51578568,113.9420557,3
24,22.54220963,114.0196493,3
25,22.54458961,113.9986601,3
26,22.49308313,113.9358391,3
27,22.52488949,113.9191429,3
28,22.54808582,113.9453119,3
29,22.56470734,113.9820093,3
30,22.58193448,114.1563953,3
31,22.54293611,114.1314072,3
32,22.52394954,113.9434416,3
33,22.55101305,113.9567446,3
34,22.5829933,114.1471227,3
35,22.54927013,114.1317447,3
36,22.52596134,113.9353993,3
37,22.7563793,114.0421356,3
38,22.64144071,114.4227421,3
39,22.71166007,114.0728836,3
40,22.60649323,114.1241536,3
41,22.66229971,114.0729969,3
42,22.63539828,114.2263772,3
43,22.73802844,114.264097,3
44,22.62558348,114.1549664,3
45,22.65265496,114.0272292,3
46,22.78892197,113.8966327,3
47,22.70103564,114.2442921,3
48,22.63154051,114.1214928,3
49,22.6417148,114.195533,3
50,22.68940336,114.3454188,3
51,22.63010042,114.0638327,3
52,22.66391673,114.0717177,3
53,22.750664,114.378843,3
54,22.72272561,114.0738016,3
55,22.64138032,114.2299818,3
56,22.77640754,114.3095878,3
57,22.58706534,113.9057614,3
58,22.69339571,114.1474874,3
59,22.6040497,114.0586138,3
60,22.6376364,114.0679162,3
61,22.65788521,114.0747723,3
62,22.61781817,114.1572608,3
63,22.64144071,114.4227421,3
64,22.78139876,114.3008065,3
65,22.72294122,114.2777156,3
66,22.67470711,114.2209333,3
67,22.66283814,114.0263974,3
68,22.65776972,114.0794934,3
69,22.65691327,114.2100928,3
70,22.73859039,113.8184493,3
71,22.71636331,114.322257,3
72,22.52331401,114.0466386,3
